Game,Team,Name,Points,Temp Points,Multiplier
SKYWARS,HighJackers,Total-,722,722.0,1.0
SKYWARS,HighJackers,iheartburgers,194,194.0,1.0
SKYWARS,HighJackers,HIGHFLY100,158,158.0,1.0
SKYWARS,HighJackers,DrippinCauk,182,182.0,1.0
SKYWARS,HighJackers,j_scotty_,188,188.0,1.0
SKYWARS,WeAreNotCreative,Total-,735,735.0,1.0
SKYWARS,WeAreNotCreative,Mztt,417,417.0,1.0
SKYWARS,WeAreNotCreative,Pancake_Manz,201,201.0,1.0
SKYWARS,WeAreNotCreative,Sir_TB,57,57.0,1.0
SKYWARS,WeAreNotCreative,_savannah,60,60.0,1.0
SKYWARS,bluntsmokers,Total-,465,465.0,1.0
SKYWARS,bluntsmokers,snailberry,36,36.0,1.0
SKYWARS,bluntsmokers,GoodGuySam,156,156.0,1.0
SKYWARS,bluntsmokers,Zombeescott,75,75.0,1.0
SKYWARS,bluntsmokers,maxsm_,198,198.0,1.0
SKYWARS,mung,Total-,729,729.0,1.0
SKYWARS,mung,ripley2004,75,75.0,1.0
SKYWARS,mung,Mr_Diamond_2000,117,117.0,1.0
SKYWARS,mung,Lord_The_Kaizer,132,132.0,1.0
SKYWARS,mung,__PVP__,405,405.0,1.0
SKYWARS,Mulch Enjoyers,Total-,828,828.0,1.0
SKYWARS,Mulch Enjoyers,cardsandhuskers,456,456.0,1.0
SKYWARS,Mulch Enjoyers,candleflint,120,120.0,1.0
SKYWARS,Mulch Enjoyers,Gink0_,105,105.0,1.0
SKYWARS,Mulch Enjoyers,Lord_Beaker,147,147.0,1.0
SKYWARS,Teal Team Six,Total-,825,825.0,1.0
SKYWARS,Teal Team Six,foxxytwelve,216,216.0,1.0
SKYWARS,Teal Team Six,Pope_Dog,294,294.0,1.0
SKYWARS,Teal Team Six,Minearhero,180,180.0,1.0
SKYWARS,Teal Team Six,zanerator,135,135.0,1.0
SKYWARS,The Capybara Crew,Total-,968,968.0,1.0
SKYWARS,The Capybara Crew,DJ_Slime1,263,263.0,1.0
SKYWARS,The Capybara Crew,bubbaheaton,248,248.0,1.0
SKYWARS,The Capybara Crew,F3V3X,245,245.0,1.0
SKYWARS,The Capybara Crew,SeasonPower,212,212.0,1.0
SKYWARS,The Gooners,Total-,435,435.0,1.0
SKYWARS,The Gooners,jazzthomas,141,141.0,1.0
SKYWARS,The Gooners,Kodakiin,111,111.0,1.0
SKYWARS,The Gooners,Samyntha,105,105.0,1.0
SKYWARS,The Gooners,TitaniumMuff,78,78.0,1.0
SKYWARS,MEOW,Total-,498,498.0,1.0
SKYWARS,MEOW,R41NY__,30,30.0,1.0
SKYWARS,MEOW,Angel505,27,27.0,1.0
SKYWARS,MEOW,earthside,384,384.0,1.0
SKYWARS,MEOW,GrayMan2003,57,57.0,1.0
SURVIVALGAMES,HighJackers,Total-,2230,1508.0,1.0
SURVIVALGAMES,HighJackers,iheartburgers,473,279.0,1.0
SURVIVALGAMES,HighJackers,HIGHFLY100,342,184.0,1.0
SURVIVALGAMES,HighJackers,DrippinCauk,947,765.0,1.0
SURVIVALGAMES,HighJackers,j_scotty_,468,280.0,1.0
SURVIVALGAMES,WeAreNotCreative,Total-,1323,588.0,1.0
SURVIVALGAMES,WeAreNotCreative,Mztt,573,156.0,1.0
SURVIVALGAMES,WeAreNotCreative,Pancake_Manz,369,168.0,1.0
SURVIVALGAMES,WeAreNotCreative,Sir_TB,177,120.0,1.0
SURVIVALGAMES,WeAreNotCreative,_savannah,204,144.0,1.0
SURVIVALGAMES,bluntsmokers,Total-,728,263.0,1.0
SURVIVALGAMES,bluntsmokers,snailberry,90,54.0,1.0
SURVIVALGAMES,bluntsmokers,GoodGuySam,204,48.0,1.0
SURVIVALGAMES,bluntsmokers,Zombeescott,111,36.0,1.0
SURVIVALGAMES,bluntsmokers,maxsm_,323,125.0,1.0
SURVIVALGAMES,mung,Total-,789,60.0,1.0
SURVIVALGAMES,mung,ripley2004,99,24.0,1.0
SURVIVALGAMES,mung,Mr_Diamond_2000,135,18.0,1.0
SURVIVALGAMES,mung,Lord_The_Kaizer,144,12.0,1.0
SURVIVALGAMES,mung,__PVP__,411,6.0,1.0
SURVIVALGAMES,Mulch Enjoyers,Total-,1781,953.0,1.0
SURVIVALGAMES,Mulch Enjoyers,cardsandhuskers,908,452.0,1.0
SURVIVALGAMES,Mulch Enjoyers,candleflint,222,102.0,1.0
SURVIVALGAMES,Mulch Enjoyers,Gink0_,278,173.0,1.0
SURVIVALGAMES,Mulch Enjoyers,Lord_Beaker,373,226.0,1.0
SURVIVALGAMES,Teal Team Six,Total-,1424,599.0,1.0
SURVIVALGAMES,Teal Team Six,foxxytwelve,378,162.0,1.0
SURVIVALGAMES,Teal Team Six,Pope_Dog,509,215.0,1.0
SURVIVALGAMES,Teal Team Six,Minearhero,270,90.0,1.0
SURVIVALGAMES,Teal Team Six,zanerator,267,132.0,1.0
SURVIVALGAMES,The Capybara Crew,Total-,1586,618.0,1.0
SURVIVALGAMES,The Capybara Crew,DJ_Slime1,293,30.0,1.0
SURVIVALGAMES,The Capybara Crew,bubbaheaton,434,186.0,1.0
SURVIVALGAMES,The Capybara Crew,F3V3X,443,198.0,1.0
SURVIVALGAMES,The Capybara Crew,SeasonPower,416,204.0,1.0
SURVIVALGAMES,The Gooners,Total-,789,354.0,1.0
SURVIVALGAMES,The Gooners,jazzthomas,279,138.0,1.0
