Game,Team,Name,Points,Temp Points,Multiplier
SURVIVAL_GAMES,Team Epic,Total-,1176,1176,1
SURVIVAL_GAMES,Team Epic,iheartburgers,208,208,1
SURVIVAL_GAMES,Team Epic,MoMo0976,272,272,1
SURVIVAL_GAMES,Team Epic,Samyntha,440,440,1
SURVIVAL_GAMES,Team Epic,Mr_Diamond_2000,256,256,1
SURVIVAL_GAMES,balllickers,Total-,608,608,1
SURVIVAL_GAMES,balllickers,dripN_,168,168,1
SURVIVAL_GAMES,balllickers,Cxxdii,216,216,1
SURVIVAL_GAMES,balllickers,Pebbleleaf,152,152,1
SURVIVAL_GAMES,balllickers,SeasonPower,72,72,1
SURVIVAL_GAMES,rawr,Total-,2087,2087,1
SURVIVAL_GAMES,rawr,earthside,1309,1309,1
SURVIVAL_GAMES,rawr,DeepThrt,349,349,1
SURVIVAL_GAMES,rawr,TYLERISCLANCY,429,429,1
SURVIVAL_GAMES,team,Total-,598,336,1
SURVIVAL_GAMES,team,YellowMandy,258,120,1
SURVIVAL_GAMES,team,LittleBubble64,154,208,1
SURVIVAL_GAMES,team,Ryan_7777,186,8,1
SURVIVAL_GAMES,team,Lightbulb1622,0,0,1
SURVIVAL_GAMES,teal team 5,Total-,384,384,1
SURVIVAL_GAMES,teal team 5,Pope_Dog,120,120,1
SURVIVAL_GAMES,teal team 5,Minearhero,96,96,1
SURVIVAL_GAMES,teal team 5,j_scotty_,88,88,1
SURVIVAL_GAMES,teal team 5,cardsandhuskers,80,80,1
SURVIVAL_GAMES,losers queue,Total-,520,520,1
SURVIVAL_GAMES,losers queue,0_0shiro,344,344,1
SURVIVAL_GAMES,losers queue,_Deoxys,112,112,1
SURVIVAL_GAMES,losers queue,Lord_The_Kaizer,0,0,1
SURVIVAL_GAMES,losers queue,GrayMan2003,64,64,1
SURVIVAL_GAMES,Not It,Total-,128,128,1
SURVIVAL_GAMES,Not It,HIGHFLY100,56,56,1
SURVIVAL_GAMES,Not It,Zombeescott,32,32,1
SURVIVAL_GAMES,Not It,distractedm1nd,24,24,1
SURVIVAL_GAMES,Not It,maxsm_,16,16,1
SURVIVAL_GAMES,snail fans,Total-,696,696,1
SURVIVAL_GAMES,snail fans,snailberry,224,224,1
SURVIVAL_GAMES,snail fans,2Smokey,184,184,1
SURVIVAL_GAMES,snail fans,ShutdownSoCool,160,160,1
SURVIVAL_GAMES,snail fans,LegacyMrDen,128,128,1
SKYWARS,Team Epic,Total-,824,824,1
SKYWARS,Team Epic,iheartburgers,212,212,1
SKYWARS,Team Epic,MoMo0976,224,224,1
SKYWARS,Team Epic,Samyntha,256,256,1
SKYWARS,Team Epic,Mr_Diamond_2000,132,132,1
SKYWARS,balllickers,Total-,648,648,1
SKYWARS,balllickers,dripN_,84,84,1
SKYWARS,balllickers,Cxxdii,232,232,1
SKYWARS,balllickers,Pebbleleaf,208,208,1
SKYWARS,balllickers,SeasonPower,124,124,1
SKYWARS,rawr,Total-,802,802,1
SKYWARS,rawr,earthside,598,598,1
SKYWARS,rawr,DeepThrt,90,90,1
SKYWARS,rawr,TYLERISCLANCY,114,114,1
SKYWARS,team,Total-,598,598,1
SKYWARS,team,YellowMandy,258,258,1
SKYWARS,team,LittleBubble64,154,154,1
SKYWARS,team,Ryan_7777,186,186,1
SKYWARS,team,Lightbulb1622,0,0,1
SKYWARS,teal team 5,Total-,1096,1096,1
SKYWARS,teal team 5,Pope_Dog,328,328,1
SKYWARS,teal team 5,Minearhero,400,400,1
SKYWARS,teal team 5,j_scotty_,116,116,1
SKYWARS,teal team 5,cardsandhuskers,252,252,1
SKYWARS,losers queue,Total-,748,748,1
SKYWARS,losers queue,0_0shiro,164,164,1
SKYWARS,losers queue,_Deoxys,464,464,1
SKYWARS,losers queue,Lord_The_Kaizer,52,52,1
SKYWARS,losers queue,GrayMan2003,68,68,1
SKYWARS,Not It,Total-,540,540,1
SKYWARS,Not It,HIGHFLY100,104,104,1
SKYWARS,Not It,Zombeescott,152,152,1
SKYWARS,Not It,distractedm1nd,164,164,1
SKYWARS,Not It,maxsm_,120,120,1
SKYWARS,snail fans,Total-,456,456,1
SKYWARS,snail fans,snailberry,72,72,1
SKYWARS,snail fans,2Smokey,136,136,1
SKYWARS,snail fans,ShutdownSoCool,36,36,1
SKYWARS,snail fans,LegacyMrDen,212,212,1
TNTRUN,Team Epic,Total-,2268,1444.5,1.5
TNTRUN,Team Epic,iheartburgers,536,324,1.5
TNTRUN,Team Epic,MoMo0976,602,378,1.5
TNTRUN,Team Epic,Samyntha,654,398.25,1.5
TNTRUN,Team Epic,Mr_Diamond_2000,476,344.25,1.5
TNTRUN,balllickers,Total-,2013,1366.5,1.5
TNTRUN,balllickers,dripN_,421,337.5,1.5
TNTRUN,balllickers,Cxxdii,596,364.5,1.5
TNTRUN,balllickers,Pebbleleaf,616,408,1.5
TNTRUN,balllickers,SeasonPower,380,256.5,1.5
TNTRUN,rawr,Total-,1827,1026.75,1.5
TNTRUN,rawr,earthside,1219,621.75,1.5
TNTRUN,rawr,DeepThrt,265,175.5,1.5
TNTRUN,rawr,TYLERISCLANCY,343,229.5,1.5
TNTRUN,team,Total-,1582,986.25,1.5
TNTRUN,team,YellowMandy,717,459.75,1.5
TNTRUN,team,LittleBubble64,187,33.75,1.5
TNTRUN,team,Ryan_7777,631,445.5,1.5
TNTRUN,team,Lightbulb1622,47,47.25,1.5
TNTRUN,teal team 5,Total-,2262,1167,1.5
TNTRUN,teal team 5,Pope_Dog,813,485.25,1.5
TNTRUN,teal team 5,Minearhero,494,94.5,1.5
TNTRUN,teal team 5,j_scotty_,298,182.25,1.5
TNTRUN,teal team 5,cardsandhuskers,657,405,1.5
TNTRUN,losers queue,Total-,2284,1536.75,1.5
TNTRUN,losers queue,0_0shiro,723,559.5,1.5
TNTRUN,losers queue,_Deoxys,1036,572.25,1.5
TNTRUN,losers queue,Lord_The_Kaizer,376,324,1.5
TNTRUN,losers queue,GrayMan2003,149,81,1.5
TNTRUN,Not It,Total-,1422,884.25,1.5
TNTRUN,Not It,HIGHFLY100,279,175.5,1.5
TNTRUN,Not It,Zombeescott,226,74.25,1.5
TNTRUN,Not It,distractedm1nd,332,168.75,1.5
TNTRUN,Not It,maxsm_,585,465.75,1.5
TNTRUN,snail fans,Total-,1953,1499.25,1.5
TNTRUN,snail fans,snailberry,375,303.75,1.5
TNTRUN,snail fans,2Smokey,514,378,1.5
TNTRUN,snail fans,ShutdownSoCool,522,486.75,1.5
TNTRUN,snail fans,LegacyMrDen,542,330.75,1.5
DROPPER,Team Epic,Total-,4022,1755,1.5
DROPPER,Team Epic,iheartburgers,1040,504,1.5
DROPPER,Team Epic,MoMo0976,986,384.75,1.5
DROPPER,Team Epic,Samyntha,1079,425.25,1.5
DROPPER,Team Epic,Mr_Diamond_2000,917,441,1.5
