Game,Team,Name,Points,Temp Points,Multiplier
SKYWARS,Teal Team Six,Total-,1410,1410,1.0
SKYWARS,Teal Team Six,Minearhero,386,386,1.0
SKYWARS,Teal Team Six,foxxytwelve,462,462,1.0
SKYWARS,Teal Team Six,Pope_Dog,562,562,1.0
SKYWARS,Team,Total-,774,774,1.0
SKYWARS,Team,Ryan_7777,234,234,1.0
SKYWARS,Team,LittleBubble64,176,176,1.0
SKYWARS,Team,YellowMandy,364,364,1.0
SKYWARS,gasstationsushi,Total-,504,504,1.0
SKYWARS,gasstationsushi,Gink0_,128,128,1.0
SKYWARS,gasstationsushi,Zombeescott,72,72,1.0
SKYWARS,gasstationsushi,Lord_Beaker,304,304,1.0
SKYWARS,PoopyNuts,Total-,740,740,1.0
SKYWARS,PoopyNuts,iheartburgers,170,170,1.0
SKYWARS,PoopyNuts,TreeGameDev,224,224,1.0
SKYWARS,PoopyNuts,candleflint,346,346,1.0
SKYWARS,coolest ppl here,Total-,654,654,1.0
SKYWARS,coolest ppl here,_savannah,152,152,1.0
SKYWARS,coolest ppl here,1Smokey,292,292,1.0
SKYWARS,coolest ppl here,Pancake_Manz,210,210,1.0
SKYWARS,loners with boners,Total-,1176,1176,1.0
SKYWARS,loners with boners,dhaan007,462,462,1.0
SKYWARS,loners with boners,MemelordMo,456,456,1.0
SKYWARS,loners with boners,computerz4,258,258,1.0
SKYWARS,Haha funni,Total-,120,120,1.0
SKYWARS,Haha funni,LinkMaster12,48,48,1.0
SKYWARS,Haha funni,Dellphoenix,40,40,1.0
SKYWARS,Haha funni,Mr_Diamond_2000,32,32,1.0
SKYWARS,Dig Bick Boys,Total-,980,980,1.0
SKYWARS,Dig Bick Boys,cardsandhuskers,580,580,1.0
SKYWARS,Dig Bick Boys,HIGHFLY100,230,230,1.0
SKYWARS,Dig Bick Boys,GrayMan2003,170,170,1.0
SURVIVALGAMES,Teal Team Six,Total-,3140,1730,1.0
SURVIVALGAMES,Teal Team Six,Minearhero,986,600,1.0
SURVIVALGAMES,Teal Team Six,foxxytwelve,1207,745,1.0
SURVIVALGAMES,Teal Team Six,Pope_Dog,947,385,1.0
SURVIVALGAMES,Team,Total-,1794,1020,1.0
SURVIVALGAMES,Team,Ryan_7777,584,350,1.0
SURVIVALGAMES,Team,LittleBubble64,281,105,1.0
SURVIVALGAMES,Team,YellowMandy,929,565,1.0
SURVIVALGAMES,gasstationsushi,Total-,2204,1700,1.0
SURVIVALGAMES,gasstationsushi,Gink0_,583,455,1.0
SURVIVALGAMES,gasstationsushi,Zombeescott,487,415,1.0
SURVIVALGAMES,gasstationsushi,Lord_Beaker,1134,830,1.0
SURVIVALGAMES,PoopyNuts,Total-,1160,420,1.0
SURVIVALGAMES,PoopyNuts,iheartburgers,200,30,1.0
SURVIVALGAMES,PoopyNuts,TreeGameDev,404,180,1.0
SURVIVALGAMES,PoopyNuts,candleflint,556,210,1.0
SURVIVALGAMES,coolest ppl here,Total-,1489,835,1.0
SURVIVALGAMES,coolest ppl here,_savannah,377,225,1.0
SURVIVALGAMES,coolest ppl here,1Smokey,662,370,1.0
SURVIVALGAMES,coolest ppl here,Pancake_Manz,450,240,1.0
SURVIVALGAMES,loners with boners,Total-,1536,360,1.0
SURVIVALGAMES,loners with boners,dhaan007,552,90,1.0
SURVIVALGAMES,loners with boners,MemelordMo,531,75,1.0
SURVIVALGAMES,loners with boners,computerz4,453,195,1.0
SURVIVALGAMES,Haha funni,Total-,195,75,1.0
SURVIVALGAMES,Haha funni,LinkMaster12,108,60,1.0
SURVIVALGAMES,Haha funni,Dellphoenix,55,15,1.0
SURVIVALGAMES,Haha funni,Mr_Diamond_2000,32,0,1.0
SURVIVALGAMES,Dig Bick Boys,Total-,1380,400,1.0
SURVIVALGAMES,Dig Bick Boys,cardsandhuskers,815,235,1.0
SURVIVALGAMES,Dig Bick Boys,HIGHFLY100,350,120,1.0
SURVIVALGAMES,Dig Bick Boys,GrayMan2003,215,45,1.0
BATTLEBOX,Teal Team Six,Total-,4499,1359,1.5
BATTLEBOX,Teal Team Six,Minearhero,1328,342,1.5
BATTLEBOX,Teal Team Six,foxxytwelve,1660,453,1.5
BATTLEBOX,Teal Team Six,Pope_Dog,1511,564,1.5
BATTLEBOX,Team,Total-,3227,1433,1.5
BATTLEBOX,Team,Ryan_7777,1037,453,1.5
BATTLEBOX,Team,LittleBubble64,808,527,1.5
BATTLEBOX,Team,YellowMandy,1382,453,1.5
BATTLEBOX,gasstationsushi,Total-,3308,1104,1.5
BATTLEBOX,gasstationsushi,Gink0_,951,368,1.5
BATTLEBOX,gasstationsushi,Zombeescott,781,294,1.5
BATTLEBOX,gasstationsushi,Lord_Beaker,1576,442,1.5
BATTLEBOX,PoopyNuts,Total-,2815,1655,1.5
BATTLEBOX,PoopyNuts,iheartburgers,764,564,1.5
BATTLEBOX,PoopyNuts,TreeGameDev,894,490,1.5
BATTLEBOX,PoopyNuts,candleflint,1157,601,1.5
BATTLEBOX,coolest ppl here,Total-,2042,553,1.5
BATTLEBOX,coolest ppl here,_savannah,475,98,1.5
BATTLEBOX,coolest ppl here,1Smokey,945,283,1.5
BATTLEBOX,coolest ppl here,Pancake_Manz,622,172,1.5
BATTLEBOX,loners with boners,Total-,2050,514,1.5
BATTLEBOX,loners with boners,dhaan007,711,159,1.5
BATTLEBOX,loners with boners,MemelordMo,764,233,1.5
BATTLEBOX,loners with boners,computerz4,575,122,1.5
BATTLEBOX,Haha funni,Total-,931,736,1.5
BATTLEBOX,Haha funni,LinkMaster12,267,159,1.5
BATTLEBOX,Haha funni,Dellphoenix,325,270,1.5
BATTLEBOX,Haha funni,Mr_Diamond_2000,339,307,1.5
BATTLEBOX,Dig Bick Boys,Total-,1676,296,1.5
BATTLEBOX,Dig Bick Boys,cardsandhuskers,926,111,1.5
BATTLEBOX,Dig Bick Boys,HIGHFLY100,535,185,1.5
BATTLEBOX,Dig Bick Boys,GrayMan2003,215,0,1.5
TGTTOS,Teal Team Six,Total-,5510,1011,1.5
TGTTOS,Teal Team Six,Minearhero,1480,152,1.5
TGTTOS,Teal Team Six,foxxytwelve,2096,436,1.5
TGTTOS,Teal Team Six,Pope_Dog,1934,423,1.5
TGTTOS,Team,Total-,4388,1161,1.5
TGTTOS,Team,Ryan_7777,1661,624,1.5
TGTTOS,Team,LittleBubble64,1089,281,1.5
TGTTOS,Team,YellowMandy,1638,256,1.5
TGTTOS,gasstationsushi,Total-,4426,1118,1.5
TGTTOS,gasstationsushi,Gink0_,1209,258,1.5
TGTTOS,gasstationsushi,Zombeescott,1012,231,1.5
TGTTOS,gasstationsushi,Lord_Beaker,2205,629,1.5
TGTTOS,PoopyNuts,Total-,3710,895,1.5
TGTTOS,PoopyNuts,iheartburgers,1140,376,1.5
TGTTOS,PoopyNuts,TreeGameDev,1069,175,1.5
TGTTOS,PoopyNuts,candleflint,1501,344,1.5
TGTTOS,coolest ppl here,Total-,2870,828,1.5
TGTTOS,coolest ppl here,_savannah,566,91,1.5
TGTTOS,coolest ppl here,1Smokey,1378,433,1.5
TGTTOS,coolest ppl here,Pancake_Manz,926,304,1.5
TGTTOS,loners with boners,Total-,2901,851,1.5
TGTTOS,loners with boners,dhaan007,1174,463,1.5
TGTTOS,loners with boners,MemelordMo,943,179,1.5
TGTTOS,loners with boners,computerz4,784,209,1.5
TGTTOS,Haha funni,Total-,1753,822,1.5
TGTTOS,Haha funni,LinkMaster12,410,143,1.5
TGTTOS,Haha funni,Dellphoenix,624,299,1.5
TGTTOS,Haha funni,Mr_Diamond_2000,719,380,1.5
TGTTOS,Dig Bick Boys,Total-,2772,1096,1.5
TGTTOS,Dig Bick Boys,cardsandhuskers,1438,512,1.5
TGTTOS,Dig Bick Boys,HIGHFLY100,1119,584,1.5
TGTTOS,Dig Bick Boys,GrayMan2003,215,0,1.5
TNTRUN,Teal Team Six,Total-,7796,2286,2.0
TNTRUN,Teal Team Six,Minearhero,1914,434,2.0
TNTRUN,Teal Team Six,foxxytwelve,2938,842,2.0
TNTRUN,Teal Team Six,Pope_Dog,2944,1010,2.0
TNTRUN,Team,Total-,5894,1506,2.0
TNTRUN,Team,Ryan_7777,2145,484,2.0
TNTRUN,Team,LittleBubble64,1355,266,2.0
TNTRUN,Team,YellowMandy,2394,756,2.0
TNTRUN,gasstationsushi,Total-,6156,1730,2.0
TNTRUN,gasstationsushi,Gink0_,1657,448,2.0
TNTRUN,gasstationsushi,Zombeescott,1846,834,2.0
TNTRUN,gasstationsushi,Lord_Beaker,2653,448,2.0
TNTRUN,PoopyNuts,Total-,5090,1380,2.0
