Game,Team,Name,Points,Temp Points,Multiplier
DROPPER,team,Total-,561,561.0,1.0
DROPPER,team,YellowMandy,338,338.0,1.0
DROPPER,team,Ryan_7777,223,223.0,1.0
DROPPER,amesame,Total-,555,555.0,1.0
DROPPER,amesame,snailberry,310,310.0,1.0
DROPPER,amesame,ShutdownSoCool,245,245.0,1.0
DROPPER,zynners,Total-,496,496.0,1.0
DROPPER,zynners,j_scotty_,227,227.0,1.0
DROPPER,zynners,Zombeescott,269,269.0,1.0
DROPPER,DOOR,Total-,604,604.0,1.0
DROPPER,DOOR,Samyntha,291,291.0,1.0
DROPPER,DOOR,cardsandhuskers,313,313.0,1.0
DROPPER,wah,Total-,290,290.0,1.0
DROPPER,wah,_AzureX,183,183.0,1.0
DROPPER,wah,Horntalo,107,107.0,1.0
DROPPER,wah,purploo,107,107.0,1.0
DROPPER,woofwoofbarkbark,Total-,666,666.0,1.0
DROPPER,woofwoofbarkbark,earthside,347,347.0,1.0
DROPPER,woofwoofbarkbark,R41NY__,319,319.0,1.0
DROPPER,bleh,Total-,466,466.0,1.0
DROPPER,bleh,Caffeinated_Lady,145,145.0,1.0
DROPPER,bleh,Mr_Diamond_2000,321,321.0,1.0
DROPPER,Big Boss,Total-,394,394.0,1.0
DROPPER,Big Boss,MoMo0976,225,225.0,1.0
DROPPER,Big Boss,TheWander02,169,169.0,1.0
SURVIVALGAMES,team,Total-,591,30.0,1.0
SURVIVALGAMES,team,YellowMandy,348,10.0,1.0
SURVIVALGAMES,team,Ryan_7777,243,20.0,1.0
SURVIVALGAMES,amesame,Total-,725,170.0,1.0
SURVIVALGAMES,amesame,snailberry,400,90.0,1.0
SURVIVALGAMES,amesame,ShutdownSoCool,325,80.0,1.0
SURVIVALGAMES,zynners,Total-,836,340.0,1.0
SURVIVALGAMES,zynners,j_scotty_,337,110.0,1.0
SURVIVALGAMES,zynners,Zombeescott,499,230.0,1.0
SURVIVALGAMES,DOOR,Total-,1054,450.0,1.0
SURVIVALGAMES,DOOR,Samyntha,321,30.0,1.0
SURVIVALGAMES,DOOR,cardsandhuskers,733,420.0,1.0
SURVIVALGAMES,wah,Total-,340,50.0,1.0
SURVIVALGAMES,wah,_AzureX,183,0.0,1.0
SURVIVALGAMES,wah,Horntalo,157,50.0,1.0
SURVIVALGAMES,wah,purploo,157,50.0,1.0
SURVIVALGAMES,woofwoofbarkbark,Total-,1946,1280.0,1.0
SURVIVALGAMES,woofwoofbarkbark,earthside,1187,840.0,1.0
SURVIVALGAMES,woofwoofbarkbark,R41NY__,759,440.0,1.0
SURVIVALGAMES,bleh,Total-,636,170.0,1.0
SURVIVALGAMES,bleh,Caffeinated_Lady,245,100.0,1.0
SURVIVALGAMES,bleh,Mr_Diamond_2000,391,70.0,1.0
SURVIVALGAMES,Big Boss,Total-,594,200.0,1.0
SURVIVALGAMES,Big Boss,MoMo0976,365,140.0,1.0
SURVIVALGAMES,Big Boss,TheWander02,229,60.0,1.0
BINGO,team,Total-,1805,1215.0,1.5
BINGO,team,YellowMandy,1063,715.5,1.5
BINGO,team,Ryan_7777,742,499.5,1.5
BINGO,amesame,Total-,981,256.5,1.5
