Game,Team,Name,Points,Temp Points,Multiplier
SKYWARS,Mztt's Bane,Total-,465,465.0,1.0
SKYWARS,Mztt's Bane,iheartburgers,28,28.0,1.0
SKYWARS,Mztt's Bane,GoodGuySam,179,179.0,1.0
SKYWARS,Mztt's Bane,snailberry,162,162.0,1.0
SKYWARS,Mztt's Bane,Zombeescott,96,96.0,1.0
SKYWARS,Surfin' Queens,Total-,735,735.0,1.0
SKYWARS,Surfin' Queens,cardsandhuskers,357,357.0,1.0
SKYWARS,Surfin' Queens,j_scotty_,88,88.0,1.0
SKYWARS,Surfin' Queens,Samyntha,96,96.0,1.0
SKYWARS,Surfin' Queens,candleflint,194,194.0,1.0
SKYWARS,dream team + zophie,Total-,1236,1236.0,1.0
SKYWARS,dream team + zophie,R41NY__,269,269.0,1.0
SKYWARS,dream team + zophie,steelyduck,306,306.0,1.0
SKYWARS,dream team + zophie,nxva_ii,439,439.0,1.0
SKYWARS,dream team + zophie,zophies,222,222.0,1.0
SKYWARS,SPAM,Total-,898,898.0,1.0
SKYWARS,SPAM,_savannah,235,235.0,1.0
SKYWARS,SPAM,Pancake_Manz,190,190.0,1.0
SKYWARS,SPAM,1Smokey,403,403.0,1.0
SKYWARS,SPAM,Mu7u,70,70.0,1.0
SKYWARS,Suits & One,Total-,633,633.0,1.0
SKYWARS,Suits & One,Lord_Beaker,165,165.0,1.0
SKYWARS,Suits & One,Gink0_,68,68.0,1.0
SKYWARS,Suits & One,LegacyMrDen,328,328.0,1.0
SKYWARS,Suits & One,Stan_D_Man,72,72.0,1.0
SKYWARS,The Revenant Choir,Total-,463,463.0,1.0
SKYWARS,The Revenant Choir,F3V3X,113,113.0,1.0
SKYWARS,The Revenant Choir,HIGHFLY100,104,104.0,1.0
SKYWARS,The Revenant Choir,LawTheElvenking,137,137.0,1.0
SKYWARS,The Revenant Choir,Kortogyo,109,109.0,1.0
SKYWARS,Brain Damage,Total-,622,622.0,1.0
SKYWARS,Brain Damage,Mztt,305,305.0,1.0
SKYWARS,Brain Damage,TreeGameDev,173,173.0,1.0
SKYWARS,Brain Damage,TurboAlexZ,132,132.0,1.0
SKYWARS,Brain Damage,GrayMan2003,12,12.0,1.0
SURVIVALGAMES,Mztt's Bane,Total-,804,339.0,1.0
SURVIVALGAMES,Mztt's Bane,iheartburgers,167,139.0,1.0
SURVIVALGAMES,Mztt's Bane,GoodGuySam,227,48.0,1.0
SURVIVALGAMES,Mztt's Bane,snailberry,202,40.0,1.0
SURVIVALGAMES,Mztt's Bane,Zombeescott,208,112.0,1.0
SURVIVALGAMES,Surfin' Queens,Total-,1205,470.0,1.0
SURVIVALGAMES,Surfin' Queens,cardsandhuskers,568,211.0,1.0
SURVIVALGAMES,Surfin' Queens,j_scotty_,259,171.0,1.0
SURVIVALGAMES,Surfin' Queens,Samyntha,128,32.0,1.0
SURVIVALGAMES,Surfin' Queens,candleflint,250,56.0,1.0
SURVIVALGAMES,dream team + zophie,Total-,2686,1450.0,1.0
SURVIVALGAMES,dream team + zophie,R41NY__,644,375.0,1.0
SURVIVALGAMES,dream team + zophie,steelyduck,906,600.0,1.0
SURVIVALGAMES,dream team + zophie,nxva_ii,814,375.0,1.0
SURVIVALGAMES,dream team + zophie,zophies,322,100.0,1.0
SURVIVALGAMES,SPAM,Total-,1753,855.0,1.0
SURVIVALGAMES,SPAM,_savannah,315,80.0,1.0
SURVIVALGAMES,SPAM,Pancake_Manz,409,219.0,1.0
SURVIVALGAMES,SPAM,1Smokey,646,243.0,1.0
SURVIVALGAMES,SPAM,Mu7u,383,313.0,1.0
SURVIVALGAMES,Suits & One,Total-,897,264.0,1.0
SURVIVALGAMES,Suits & One,Lord_Beaker,189,24.0,1.0
SURVIVALGAMES,Suits & One,Gink0_,228,160.0,1.0
SURVIVALGAMES,Suits & One,LegacyMrDen,400,72.0,1.0
SURVIVALGAMES,Suits & One,Stan_D_Man,80,8.0,1.0
SURVIVALGAMES,The Revenant Choir,Total-,1449,986.0,1.0
SURVIVALGAMES,The Revenant Choir,F3V3X,129,16.0,1.0
SURVIVALGAMES,The Revenant Choir,HIGHFLY100,481,377.0,1.0
SURVIVALGAMES,The Revenant Choir,LawTheElvenking,313,176.0,1.0
SURVIVALGAMES,The Revenant Choir,Kortogyo,526,417.0,1.0
SURVIVALGAMES,Brain Damage,Total-,1383,761.0,1.0
SURVIVALGAMES,Brain Damage,Mztt,583,278.0,1.0
SURVIVALGAMES,Brain Damage,TreeGameDev,432,259.0,1.0
SURVIVALGAMES,Brain Damage,TurboAlexZ,252,120.0,1.0
SURVIVALGAMES,Brain Damage,GrayMan2003,116,104.0,1.0
BATTLEBOX,Mztt's Bane,Total-,2244,1440.0,1.5
BATTLEBOX,Mztt's Bane,iheartburgers,512,345.0,1.5
BATTLEBOX,Mztt's Bane,GoodGuySam,722,495.0,1.5
